Time,Left Eye Yaw,Right Eye Yaw,Left Pitch,Right Pitch
0.02, -145, -145,NaN,NaN
0.04, -145, -145,NaN,NaN
0.3733333, -0.1571045, 4.881256,-12.81422,-10.62089
0.3941393, -0.1562195, 4.881027,-12.80899,-10.61536
0.402452, -0.1562653, 4.880997,-12.81704,-10.62298
0.410936, -0.1563263, 4.881058,-12.79766,-10.60543
0.422318, -0.1561584, 4.880905,-12.81484,-10.62137
0.4336859, -0.1560669, 4.880905,-12.82021,-10.62634
0.4442589, -0.1562958, 4.88092,-12.81505,-10.62178
0.4561022, -0.1561432, 4.880844,-12.79995,-10.60682
0.4665905, -0.1560822, 4.880798,-12.8108,-10.61649
0.4775554, -0.04956055, 5.000793,-12.98807,-10.57055
0.4886844, -0.04951477, 5.000793,-12.97792,-10.56046
0.5004511, -0.04934692, 5.000839,-12.98482,-10.56752
0.5110224, -0.04962158, 5.00087,-12.98051,-10.56348
0.5220848, -0.04940796, 5.000687,-12.97997,-10.56209
0.5333112, -0.04936218, 5.000687,-12.98497,-10.5671
0.5443034, -0.04936218, 5.000793,-12.97374,-10.55642
0.5553549, -0.04943848, 5.000748,-12.98303,-10.56511
0.5664541, -0.04936218, 5.000763,-12.97896,-10.56159
0.5776954, 0.02557373, 4.906891,-12.782,-10.62774
0.5891408, 0.02580261, 4.906677,-12.79,-10.63539
0.5998778, 0.02587891, 4.906693,-12.78002,-10.62631
0.6108425, 0.02589417, 4.906723,-12.78369,-10.62957
0.621949, 0.02563477, 4.906769,-12.78482,-10.63068
0.633143, 0.02560425, 4.906754,-12.78668,-10.63303
0.6441896, 0.02552795, 4.906815,-12.7875,-10.63424
0.6554424, 0.02549744, 4.906815,-12.78096,-10.62751
0.6667969, 0.02561951, 4.906815,-12.78626,-10.63203
0.6774554, 0.02561951, 4.906921,-12.78977,-10.63591
0.691835, 0.05429077, 4.886078,-12.82115,-10.57686
0.6998258, 0.05435181, 4.886078,-12.83163,-10.58657
0.7109067, 0.05432129, 4.886169,-12.83029,-10.58544
0.7220773, 0.05439758, 4.885971,-12.82208,-10.57659
0.7332891, 0.05455017, 4.886032,-12.83234,-10.58716
0.7444122, 0.05450439, 4.886093,-12.82552,-10.58031
0.7551131, 0.05441284, 4.886017,-12.82242,-10.57794
0.7663086, 0.05448914, 4.886002,-12.82646,-10.58112
