Time,Left Eye Yaw,Right Eye Yaw,Left Pitch,Right Pitch
0.02, -145, -145,NaN,NaN
0.04, -145, -145,NaN,NaN
0.3733333, -2.616226, 1.786575,-12.06602,-6.500088
0.3881346, -2.616776, 1.787033,-12.06397,-6.497815
0.3983112, -2.616638, 1.787094,-12.05469,-6.490658
0.409362, -2.616913, 1.787476,-12.05291,-6.488841
0.4216191, -2.61705, 1.787476,-12.05581,-6.491125
0.4317706, -2.617065, 1.787506,-12.05827,-6.493968
0.4430189, -2.617065, 1.78746,-12.05044,-6.485358
0.4545872, -2.616974, 1.78746,-12.05347,-6.487545
0.4649589, -2.617142, 1.787491,-12.05371,-6.489566
0.4761219, -2.391251, 1.795685,-12.01815,-6.510445
0.4873226, -2.391159, 1.795731,-12.01809,-6.511559
0.4990357, -2.391113, 1.795746,-12.01873,-6.512711
0.5095281, -2.391113, 1.795502,-12.01564,-6.50873
0.520574, -2.391129, 1.795517,-12.01546,-6.509572
0.532259, -2.390945, 1.795486,-12.01807,-6.511455
0.54268, -2.391159, 1.795593,-12.00844,-6.502903
0.5538248, -2.391098, 1.795547,-12.01102,-6.504251
0.5649554, -2.39122, 1.795502,-12.02154,-6.514155
0.5759795, -2.39183, 1.795578,-12.03231,-6.523145
0.5870857, -2.284073, 1.810013,-12.09954,-6.433438
0.5982262, -2.283981, 1.809998,-12.10118,-6.434482
0.6092919, -2.284531, 1.810272,-12.11122,-6.442595
0.620419, -2.284622, 1.810303,-12.10191,-6.434539
0.6314568, -2.284668, 1.810303,-12.10083,-6.434009
0.6716366, -2.284653, 1.810196,-12.10863,-6.438669
0.6877005, -2.631638, 1.760666,-12.25618,-6.463303
0.6987021, -2.6315, 1.760696,-12.24226,-6.451497
0.7096233, -2.631256, 1.760651,-12.25126,-6.457434
0.7209113, -2.63147, 1.76062,-12.25522,-6.461308
0.7320828, -2.631241, 1.760666,-12.24603,-6.453721
0.7430663, -2.631668, 1.760437,-12.25985,-6.464829
0.7540706, -2.631287, 1.760498,-12.25252,-6.459664
0.7654151, -2.631531, 1.760422,-12.25906,-6.465232
0.7762974, -2.631866, 1.760376,-12.27024,-6.473443
0.787558, -2.631897, 1.760269,-12.27165,-6.474763
0.7986693, -2.652771, 1.792206,-12.28782,-6.423291
0.8096805, -2.65303, 1.792358,-12.29041,-6.426585
