Time,Left Eye Yaw,Right Eye Yaw,Left Pitch,Right Pitch
0.3733333, -0.2043304, 4.300049,-12.8739,-10.55181
0.5737457, -0.2038116, 4.319656,-12.77223,-10.47834
0.7739194, 0.01451111, 4.316132,-12.69072,-10.46597
0.9849669, 0.1771545, 4.248505,-12.75665,-10.45796
1.190056, -0.04663086, 4.195953,-12.74086,-10.57539
1.390075, 0.04818726, 4.259918,-12.64507,-10.55499
1.600947, 0.06948853, 4.1922,-12.77897,-10.55067
1.811972, -0.003799438, 4.270401,-12.73116,-10.4989
2.012022, 0.07165527, 4.273209,-12.8636,-10.50036
2.223073, -0.3226624, 4.220535,-12.769,-10.48951
2.433825, 0.2405548, 4.476456,-12.7163,-10.32728
2.633903, -0.1752319, 4.535736,-12.76924,-10.40323
2.844974, 0.1768951, 4.447662,-12.83985,-10.40352
3.05619, -0.07342529, 4.517944,-12.75492,-10.46009
3.267179, 0.2106018, 4.345718,-12.70942,-10.47116
3.478073, -0.02163696, 4.351929,-12.66009,-10.49728
3.689142, 0.3689575, 4.48671,-12.70437,-10.4851
3.900052, 0.1101074, 4.376831,-12.68061,-10.52196
4.111288, 0.1208344, 4.48587,-12.83652,-10.45818
4.323048, -0.04718018, 4.563599,-12.73097,-10.39467
4.533202, 0.06161499, 4.523117,-12.69224,-10.36527
4.733223, 0.08560181, 4.343887,-12.81303,-10.29898
4.944267, 0.2054749, 4.364594,-12.78308,-10.32838
5.155304, 0.08403015, 4.228638,-12.71726,-10.42431
5.355312, 0.1285553, 4.382599,-12.76343,-10.2344
5.555367, 0.02381897, 4.355881,-12.78186,-10.3403
5.755369, 0.1365814, 4.393921,-12.70473,-10.294
5.96619, -0.04795837, 4.238754,-12.6714,-10.39572
6.177365, 0.2353973, 4.337662,-12.71052,-10.30152
6.388544, 0.2578278, 4.296387,-12.741,-10.30462
6.599405, 0.2421112, 4.388916,-12.65594,-10.2469
6.810544, 0.1338806, 4.378693,-12.72848,-10.32241
7.021501, 0.257309, 4.377243,-12.78012,-10.31439
7.221546, -0.05133057, 4.311554,-12.70432,-10.41467
7.432285, 0.05950928, 4.294022,-12.84393,-10.43526
